scenario,rep,patients_done,capture_util,ai_util,reviewer_util,reviewer_queue_len,avg_wait_capture,avg_wait_reviewer
S1_Baseline,1,262,0.970620723442795,0.951688212621069,0.413056532063051,0.089569285075971,18.2246962949971,0.293629372595664
S1_Baseline,2,261,0.97083856281009,0.951688212621069,0.416453547648399,0.112255838057594,18.3162813903934,0.367824230141036
S1_Baseline,3,262,0.966383712089306,0.946213187543285,0.409506157018587,0.122179930230387,18.3886665836799,0.400999300214597
S1_Baseline,4,263,0.965536359008299,0.951688212621069,0.397930715478457,0.142066083287442,18.3777099740287,0.479577210233817
S1_Baseline,5,264,0.963056545687527,0.951688212621069,0.400532423670071,0.120361588239567,18.4699536998085,0.405181460677029
S1_Baseline,6,264,0.96085513897185,0.951688212621069,0.402772181368751,0.133964282024743,18.5235314387581,0.444539878138661
S1_Baseline,7,263,0.960513142829245,0.951688212621069,0.397890164303393,0.157704799936934,18.5969486692193,0.527856832402973
S1_Baseline,8,262,0.964334667061767,0.938241676250094,0.399960210450929,0.159508949671571,18.7096718754305,0.531773666092821
S1_Baseline,9,264,0.973653305040806,0.951688212621069,0.39945126152009,0.129521648124185,18.6848991697069,0.431248902800771
S1_Baseline,10,263,0.97318014671305,0.951688212621069,0.402255816018894,0.114373150658621,18.7902626833601,0.38446982287776
S2_AI_Offload,1,561,0.966957265115617,0.948416374584567,0.573141991328373,0.374574469555326,20.0227686948711,0.940038807541229
S2_AI_Offload,2,560,0.963083741005167,0.94189383556316,0.563139351121462,0.355474126864669,20.0882983807911,0.917102011374893
S2_AI_Offload,3,560,0.964728873561752,0.939715767502656,0.566272644602994,0.357918589517373,20.181524812879,0.915884535325099
S2_AI_Offload,4,561,0.969105039552318,0.93972199998695,0.570924884381718,0.362320344165359,20.2751791555739,0.915884535325099
S2_AI_Offload,5,561,0.971229075009142,0.937820348676122,0.574425227794481,0.365700565156244,20.3692594385192,0.915884535325099
S2_AI_Offload,6,560,0.97023905039045,0.942818464931028,0.571476481486478,0.314481815610582,20.2218586057106,0.793500731307888
S2_AI_Offload,7,560,0.971303101134274,0.940061420205694,0.57455692255983,0.316575433065068,20.3022030745977,0.792667613083267
S2_AI_Offload,8,559,0.967219041942818,0.933269508330475,0.574742783540439,0.316726274004355,20.3830291585008,0.792667613083267
S2_AI_Offload,9,561,0.973792108987455,0.947905766514606,0.565609270358172,0.25369463945356,20.3210804873939,0.650754689705813
S2_AI_Offload,10,560,0.969857626354824,0.949834339934124,0.560471136990507,0.21253710679024,20.2068032969915,0.552066601509183
S3_Capacity_Scaled,1,323,0.583309941530123,0.951688212621069,0.308017658250056,0.0127232599567143,0.00542724402562979,0.0287480246974905
S3_Capacity_Scaled,2,323,0.584017438835726,0.951688212621069,0.305618289782702,0.0132063611659816,0.005438100514582,0.0299287120810856
S3_Capacity_Scaled,3,323,0.58202766411995,0.951688212621069,0.306818611810199,0.00966270297582798,0.00545317455960233,0.0218480974992405
S3_Capacity_Scaled,4,323,0.580795607046512,0.951688212621069,0.308298114141175,0.00559848304380006,0.0054683223646418,0.0126207346258311
S3_Capacity_Scaled,5,323,0.580811682124875,0.951688212621069,0.305797611847609,0.00418318327609297,0.00548137927368037,0.00947039761690489
S3_Capacity_Scaled,6,323,0.584028754394188,0.950541788744851,0.308797287886702,0.0058171967020654,0.00549555930682371,0.0131821536236377
S3_Capacity_Scaled,7,323,0.580963027540106,0.951688212621069,0.305893834155774,0.0109117386326914,0.0055263145566327,0.0246496510753859
S3_Capacity_Scaled,8,323,0.580065253558726,0.951688212621069,0.303068982328035,0.0110602915411473,0.00554067712447096,0.0251154953849453
S3_Capacity_Scaled,9,322,0.583873110180403,0.943722876910186,0.30569239155329,0.0109163524847465,0.00555280661415168,0.0246804580831421
S3_Capacity_Scaled,10,321,0.584893973686902,0.951688212621069,0.304865883604651,0.00754649625854313,0.00558175232317383,0.0174364697684376
